"ID","FullName","unit","category","transformation","AR"
"SvinoySal","Svinoy-coreS","psu","Climate",FALSE,0
"LanganesTemp","Temp-Langanes-East7","°C","Climate",FALSE,0
"ZooBMay","Zooplankton B","dry weight mg.m-2","Ecological",TRUE,0
